radius depth density Vs Qmu
0.0000e+00 6.3710e+06 1.3088e+04 3.6678e+03 1.0400e+02
6.8240e+03 6.3642e+06 1.3088e+04 3.6678e+03 1.0400e+02
1.3648e+04 6.3574e+06 1.3088e+04 3.6678e+03 1.0400e+02
2.0472e+04 6.3505e+06 1.3088e+04 3.6678e+03 1.0400e+02
2.7296e+04 6.3437e+06 1.3088e+04 3.6677e+03 1.0400e+02
3.4120e+04 6.3369e+06 1.3088e+04 3.6677e+03 1.0400e+02
4.0944e+04 6.3301e+06 1.3088e+04 3.6676e+03 1.0400e+02
4.7768e+04 6.3232e+06 1.3088e+04 3.6676e+03 1.0400e+02
5.4592e+04 6.3164e+06 1.3088e+04 3.6675e+03 1.0400e+02
6.1416e+04 6.3096e+06 1.3088e+04 3.6674e+03 1.0400e+02
6.8240e+04 6.3028e+06 1.3087e+04 3.6673e+03 1.0400e+02
7.5064e+04 6.2959e+06 1.3087e+04 3.6672e+03 1.0400e+02
8.1888e+04 6.2891e+06 1.3087e+04 3.6671e+03 1.0400e+02
8.8712e+04 6.2823e+06 1.3087e+04 3.6669e+03 1.0400e+02
9.5536e+04 6.2755e+06 1.3086e+04 3.6668e+03 1.0400e+02
1.0236e+05 6.2686e+06 1.3086e+04 3.6667e+03 1.0400e+02
1.0918e+05 6.2618e+06 1.3086e+04 3.6665e+03 1.0400e+02
1.1601e+05 6.2550e+06 1.3086e+04 3.6663e+03 1.0400e+02
1.2283e+05 6.2482e+06 1.3085e+04 3.6662e+03 1.0400e+02
1.2966e+05 6.2413e+06 1.3085e+04 3.6660e+03 1.0400e+02
1.3648e+05 6.2345e+06 1.3084e+04 3.6658e+03 1.0400e+02
1.4330e+05 6.2277e+06 1.3084e+04 3.6656e+03 1.0400e+02
1.5013e+05 6.2209e+06 1.3084e+04 3.6653e+03 1.0400e+02
1.5695e+05 6.2140e+06 1.3083e+04 3.6651e+03 1.0400e+02
1.6378e+05 6.2072e+06 1.3083e+04 3.6649e+03 1.0400e+02
1.7060e+05 6.2004e+06 1.3082e+04 3.6646e+03 1.0400e+02
1.7742e+05 6.1936e+06 1.3082e+04 3.6643e+03 1.0400e+02
1.8425e+05 6.1868e+06 1.3081e+04 3.6641e+03 1.0400e+02
1.9107e+05 6.1799e+06 1.3081e+04 3.6638e+03 1.0400e+02
1.9790e+05 6.1731e+06 1.3080e+04 3.6635e+03 1.0400e+02
2.0472e+05 6.1663e+06 1.3079e+04 3.6632e+03 1.0400e+02
2.1154e+05 6.1595e+06 1.3079e+04 3.6629e+03 1.0400e+02
2.1837e+05 6.1526e+06 1.3078e+04 3.6626e+03 1.0400e+02
2.2519e+05 6.1458e+06 1.3077e+04 3.6622e+03 1.0400e+02
2.3202e+05 6.1390e+06 1.3077e+04 3.6619e+03 1.0400e+02
2.3884e+05 6.1322e+06 1.3076e+04 3.6616e+03 1.0400e+02
2.4566e+05 6.1253e+06 1.3075e+04 3.6612e+03 1.0400e+02
2.5249e+05 6.1185e+06 1.3075e+04 3.6608e+03 1.0400e+02
2.5931e+05 6.1117e+06 1.3074e+04 3.6604e+03 1.0400e+02
2.6614e+05 6.1049e+06 1.3073e+04 3.6600e+03 1.0400e+02
2.7296e+05 6.0980e+06 1.3072e+04 3.6596e+03 1.0400e+02
2.7978e+05 6.0912e+06 1.3071e+04 3.6592e+03 1.0400e+02
2.8661e+05 6.0844e+06 1.3071e+04 3.6588e+03 1.0400e+02
2.9343e+05 6.0776e+06 1.3070e+04 3.6584e+03 1.0400e+02
3.0026e+05 6.0707e+06 1.3069e+04 3.6579e+03 1.0400e+02
3.0708e+05 6.0639e+06 1.3068e+04 3.6575e+03 1.0400e+02
3.1390e+05 6.0571e+06 1.3067e+04 3.6570e+03 1.0400e+02
3.2073e+05 6.0503e+06 1.3066e+04 3.6565e+03 1.0400e+02
3.2755e+05 6.0434e+06 1.3065e+04 3.6560e+03 1.0400e+02
3.3438e+05 6.0366e+06 1.3064e+04 3.6556e+03 1.0400e+02
3.4120e+05 6.0298e+06 1.3063e+04 3.6550e+03 1.0400e+02
3.4802e+05 6.0230e+06 1.3062e+04 3.6545e+03 1.0400e+02
3.5485e+05 6.0162e+06 1.3061e+04 3.6540e+03 1.0400e+02
3.6167e+05 6.0093e+06 1.3060e+04 3.6535e+03 1.0400e+02
3.6849e+05 6.0025e+06 1.3059e+04 3.6529e+03 1.0400e+02
3.7532e+05 5.9957e+06 1.3058e+04 3.6524e+03 1.0400e+02
3.8214e+05 5.9889e+06 1.3057e+04 3.6518e+03 1.0400e+02
3.8897e+05 5.9820e+06 1.3056e+04 3.6512e+03 1.0400e+02
3.9579e+05 5.9752e+06 1.3054e+04 3.6506e+03 1.0400e+02
4.0261e+05 5.9684e+06 1.3053e+04 3.6500e+03 1.0400e+02
4.0944e+05 5.9616e+06 1.3052e+04 3.6494e+03 1.0400e+02
4.1626e+05 5.9547e+06 1.3051e+04 3.6488e+03 1.0400e+02
4.2309e+05 5.9479e+06 1.3050e+04 3.6482e+03 1.0400e+02
4.2991e+05 5.9411e+06 1.3048e+04 3.6476e+03 1.0400e+02
4.3673e+05 5.9343e+06 1.3047e+04 3.6469e+03 1.0400e+02
4.4356e+05 5.9274e+06 1.3046e+04 3.6462e+03 1.0400e+02
4.5038e+05 5.9206e+06 1.3044e+04 3.6456e+03 1.0400e+02
4.5721e+05 5.9138e+06 1.3043e+04 3.6449e+03 1.0400e+02
4.6403e+05 5.9070e+06 1.3042e+04 3.6442e+03 1.0400e+02
4.7085e+05 5.9001e+06 1.3040e+04 3.6435e+03 1.0400e+02
4.7768e+05 5.8933e+06 1.3039e+04 3.6428e+03 1.0400e+02
4.8450e+05 5.8865e+06 1.3037e+04 3.6421e+03 1.0400e+02
4.9133e+05 5.8797e+06 1.3036e+04 3.6413e+03 1.0400e+02
4.9815e+05 5.8728e+06 1.3034e+04 3.6406e+03 1.0400e+02
5.0497e+05 5.8660e+06 1.3033e+04 3.6399e+03 1.0400e+02
5.1180e+05 5.8592e+06 1.3031e+04 3.6391e+03 1.0400e+02
5.1862e+05 5.8524e+06 1.3030e+04 3.6383e+03 1.0400e+02
5.2545e+05 5.8456e+06 1.3028e+04 3.6376e+03 1.0400e+02
5.3227e+05 5.8387e+06 1.3027e+04 3.6368e+03 1.0400e+02
5.3909e+05 5.8319e+06 1.3025e+04 3.6360e+03 1.0400e+02
5.4592e+05 5.8251e+06 1.3024e+04 3.6351e+03 1.0400e+02
5.5274e+05 5.8183e+06 1.3022e+04 3.6343e+03 1.0400e+02
5.5957e+05 5.8114e+06 1.3020e+04 3.6335e+03 1.0400e+02
5.6639e+05 5.8046e+06 1.3019e+04 3.6327e+03 1.0400e+02
5.7321e+05 5.7978e+06 1.3017e+04 3.6318e+03 1.0400e+02
5.8004e+05 5.7910e+06 1.3015e+04 3.6309e+03 1.0400e+02
5.8686e+05 5.7841e+06 1.3013e+04 3.6301e+03 1.0400e+02
5.9368e+05 5.7773e+06 1.3012e+04 3.6292e+03 1.0400e+02
6.0051e+05 5.7705e+06 1.3010e+04 3.6283e+03 1.0400e+02
6.0733e+05 5.7637e+06 1.3008e+04 3.6274e+03 1.0400e+02
6.1416e+05 5.7568e+06 1.3006e+04 3.6265e+03 1.0400e+02
6.2098e+05 5.7500e+06 1.3005e+04 3.6256e+03 1.0400e+02
6.2780e+05 5.7432e+06 1.3003e+04 3.6246e+03 1.0400e+02
6.3463e+05 5.7364e+06 1.3001e+04 3.6237e+03 1.0400e+02
6.4145e+05 5.7295e+06 1.2999e+04 3.6227e+03 1.0400e+02
6.4828e+05 5.7227e+06 1.2997e+04 3.6218e+03 1.0400e+02
6.5510e+05 5.7159e+06 1.2995e+04 3.6208e+03 1.0400e+02
6.6192e+05 5.7091e+06 1.2993e+04 3.6198e+03 1.0400e+02
6.6875e+05 5.7023e+06 1.2991e+04 3.6188e+03 1.0400e+02
6.7557e+05 5.6954e+06 1.2989e+04 3.6178e+03 1.0400e+02
6.8240e+05 5.6886e+06 1.2987e+04 3.6168e+03 1.0400e+02
6.8922e+05 5.6818e+06 1.2985e+04 3.6158e+03 1.0400e+02
6.9604e+05 5.6750e+06 1.2983e+04 3.6147e+03 1.0400e+02
7.0287e+05 5.6681e+06 1.2981e+04 3.6137e+03 1.0400e+02
