radius,density,vp,vs
3485500,5564,13715,7265
3519600,5547,13707,7265
3554200,5529,13699,7265
3588800,5512,13690,7266
3623400,5495,13682,7266
3658000,5478,13646,7250
3692700,5460,13605,7234
3727300,5443,13563,7218
3761900,5426,13522,7202
3796500,5409,13482,7187
3831100,5391,13441,7171
3865700,5374,13401,7156
3900300,5357,13360,7140
3934900,5340,13320,7125
3969500,5322,13280,7110
4004100,5305,13241,7094
4038700,5288,13201,7079
4073400,5271,13161,7063
4108000,5253,13121,7048
4142600,5236,13082,7032
4177200,5219,13042,7017
4211800,5201,13002,7001
4246400,5184,12962,6986
4281000,5166,12922,6970
4315600,5149,12882,6954
4350200,5131,12842,6938
4384800,5114,12802,6922
4419400,5096,12761,6906
4454100,5078,12720,6890
4488700,5061,12679,6874
4523300,5043,12638,6858
4557900,5025,12596,6841
4592500,5007,12554,6824
4627100,4989,12511,6808
4661700,4971,12469,6791
4696300,4953,12425,6773
4730900,4934,12382,6756
4765500,4916,12338,6739
4800200,4898,12293,6721
4834800,4879,12248,6703
4869400,4861,12202,6685
4904000,4842,12156,6666
4938600,4823,12109,6648
4973200,4805,12062,6629
5007800,4786,12014,6610
5042400,4767,11965,6590
5077000,4747,11915,6571
5111600,4728,11865,6551
5146200,4709,11814,6531
5180900,4689,11762,6510
5201000,4689,11762,6510
5201000,4670,11710,6489
5215500,4670,11710,6489
5250100,4650,11657,6468
5284700,4630,11603,6447
5319300,4610,11547,6425
5353900,4590,11492,6403
5388500,4570,11435,6381
5423100,4550,11377,6358
5457700,4529,11318,6335
5492300,4508,11258,6311
5550000,4474,11156,6271
5600000,4443,11066,6235
5625000,4428,10988,6167
5650000,4412,10910,6094
5675000,4397,10832,6021
5701000,4381,10754,5948
5701000,3992,10268,5571
5725000,3987,10229,5552
5750000,3981,10190,5532
5775000,3971,10137,5504
5800000,3939,10009,5431
5856900,3868,9718,5265
5888300,3828,9557,5174
5919600,3789,9397,5082
5961000,3749,9236,4991
5961000,3555,8944,4784
5975900,3540,8896,4766
6000900,3525,8848,4749
6025800,3511,8800,4732
6050800,3496,8752,4714
6075700,3481,8704,4697
6100600,3466,8656,4679
6125600,3451,8608,4662
6150500,3436,8560,4644
6175400,3362,8005,4428
6200400,3365,8020,4437
6225300,3368,8036,4446
6250300,3370,8051,4456
6265200,3373,8066,4465
6271000,3374,8069,4467
6271000,3374,8069,4467
6300100,3376,8082,4474
6311000,3376,8082,4474
6311000,3378,8097,4483
6325100,3378,8097,4483
6350000,3381,8113,4492
6350000,3381,8113,4492
6360500,3381,8113,4492
6371000,3381,8113,4492
