radius depth density Vs Qmu
6.3710e+06 0.0000e+00 1.0200e+03 0.0000e+00 0.0000e+00
6.3680e+06 3.0000e+03 1.0200e+03 0.0000e+00 0.0000e+00
6.3680e+06 3.0000e+03 2.6000e+03 3.1910e+03 6.0000e+02
6.3560e+06 1.5000e+04 2.6000e+03 3.1910e+03 6.0000e+02
6.3560e+06 1.5000e+04 2.9000e+03 3.8890e+03 6.0000e+02
6.3466e+06 2.4400e+04 2.9000e+03 3.8890e+03 6.0000e+02
6.3466e+06 2.4400e+04 3.3808e+03 4.4566e+03 6.0000e+02
6.3310e+06 4.0000e+04 3.3791e+03 4.4541e+03 6.0000e+02
6.3110e+06 6.0000e+04 3.3769e+03 4.4510e+03 6.0000e+02
6.2910e+06 8.0000e+04 3.3747e+03 4.4479e+03 6.0000e+02
6.2910e+06 8.0000e+04 3.3747e+03 4.3664e+03 8.0000e+01
6.2710e+06 1.0000e+05 3.3725e+03 4.3634e+03 8.0000e+01
6.2510e+06 1.2000e+05 3.3704e+03 4.3604e+03 8.0000e+01
6.2310e+06 1.4000e+05 3.3682e+03 4.3575e+03 8.0000e+01
6.2110e+06 1.6000e+05 3.3660e+03 4.3546e+03 8.0000e+01
6.1910e+06 1.8000e+05 3.3638e+03 4.3516e+03 8.0000e+01
6.1710e+06 2.0000e+05 3.3617e+03 4.3488e+03 8.0000e+01
6.1510e+06 2.2000e+05 3.3595e+03 4.3459e+03 8.0000e+01
6.1510e+06 2.2000e+05 3.4358e+03 4.5891e+03 1.4300e+02
6.1060e+06 2.6500e+05 3.4626e+03 4.6203e+03 1.4300e+02
6.0610e+06 3.1000e+05 3.4895e+03 4.6514e+03 1.4300e+02
6.0160e+06 3.5500e+05 3.5164e+03 4.6825e+03 1.4300e+02
5.9710e+06 4.0000e+05 3.5432e+03 4.7136e+03 1.4300e+02
5.9710e+06 4.0000e+05 3.7238e+03 4.8744e+03 1.4300e+02
5.9210e+06 4.5000e+05 3.7868e+03 5.0185e+03 1.4300e+02
5.8710e+06 5.0000e+05 3.8498e+03 5.1627e+03 1.4300e+02
5.8210e+06 5.5000e+05 3.9128e+03 5.3068e+03 1.4300e+02
5.7710e+06 6.0000e+05 3.9758e+03 5.4510e+03 1.4300e+02
5.7710e+06 6.0000e+05 3.9758e+03 5.4510e+03 1.4300e+02
5.7360e+06 6.3500e+05 3.9840e+03 5.4778e+03 1.4300e+02
5.7010e+06 6.7000e+05 3.9921e+03 5.5045e+03 1.4300e+02
5.7010e+06 6.7000e+05 4.3807e+03 5.9129e+03 3.1200e+02
5.6500e+06 7.2100e+05 4.4124e+03 6.0612e+03 3.1200e+02
5.6000e+06 7.7100e+05 4.4432e+03 6.2067e+03 3.1200e+02
5.6000e+06 7.7100e+05 4.4432e+03 6.2067e+03 3.1200e+02
